Lockdown Time,Lockup Time,cost,status£¨0 for unstable£¬1 for stable£©
2019/3/12 10:59,2019/3/12 11:00,0,0
2019/3/12 11:26,2019/3/12 11:28,0,0
2019/5/8 15:51,2019/5/8 15:52,0,0
2019/5/9 14:06,2019/5/9 14:07,0,0
2019/5/11 11:21,2019/5/11 12:31,1,0
2019/5/11 12:37,2019/5/11 13:36,1,0
2019/5/11 14:39,2019/5/11 14:40,0,0
2019/5/11 14:41,2019/5/11 14:43,1,0
2019/5/12 9:30,2019/5/12 9:31,0,0
2019/5/13 9:56,2019/5/13 10:13,0,0
2019/5/18 12:00,2019/5/18 15:07,5,0
2019/5/21 9:01,2019/5/21 9:06,0,0
2019/5/21 9:07,2019/5/21 9:09,0,0
2019/5/21 9:10,2019/5/21 18:54,10,0
2019/5/21 9:13,2019/5/21 9:14,0,0
2019/5/21 9:27,2019/5/21 9:28,0,0
2019/5/21 12:55,2019/5/22 1:08,0,0
2019/5/21 16:18,2019/5/21 16:37,0,0
2019/5/21 18:06,2019/5/21 18:07,0,0
2019/5/22 8:33,2019/5/22 19:59,10,0
2019/5/22 9:51,2019/5/22 12:55,5,0
2019/5/22 14:17,2019/5/22 18:04,5,0
2019/5/23 11:28,2019/5/23 14:23,5,0
2019/5/24 8:40,2019/5/24 8:41,0,0
2019/5/24 14:37,2019/5/24 17:43,5,0
2019/5/24 14:38,2019/5/24 14:50,0,0
2019/5/24 15:01,2019/5/24 15:04,0,0
2019/5/27 8:49,2019/5/27 18:15,10,0
2019/5/27 9:49,2019/5/27 11:08,5,0
2019/5/27 10:45,2019/5/27 18:27,10,0
2019/5/28 8:28,2019/5/28 8:29,0,0
2019/5/28 8:57,2019/5/28 14:38,10,0
2019/5/28 13:15,2019/5/28 16:08,5,0
2019/5/28 13:16,2019/5/28 16:48,5,0
2019/5/29 8:32,2019/5/29 20:00,10,0
2019/5/29 8:52,2019/5/29 17:54,10,0
2019/5/29 10:40,2019/5/29 10:41,0,0
2019/5/29 10:41,2019/5/29 10:42,0,0
2019/5/29 10:43,2019/5/29 10:44,0,0
2019/5/29 11:07,2019/5/29 11:08,0,0
2019/5/29 16:23,2019/5/29 16:25,0,0
2019/5/30 8:29,2019/5/30 17:38,10,0
2019/5/30 8:50,2019/5/30 17:54,10,0
2019/5/30 9:43,2019/5/30 9:45,0,0
2019/5/30 9:47,2019/5/30 9:48,0,0
2019/5/31 8:59,2019/5/31 18:17,10,0
2019/5/31 20:25,2019/5/31 20:28,0,0
2019/6/1 8:31,2019/6/1 8:32,0,0
2019/6/3 8:36,2019/6/3 8:43,0,0
2019/6/3 8:56,2019/6/3 8:57,0,0
2019/6/3 9:05,2019/6/3 9:06,0,0
2019/6/3 9:05,2019/6/3 9:06,0,1
2019/6/3 12:08,2019/6/3 12:09,0,0
2019/6/3 20:56,2019/6/3 20:57,0,0
2019/6/3 21:01,2019/6/3 21:02,0,0
2019/6/3 21:23,2019/6/3 21:24,0,0
2019/6/3 21:28,2019/6/3 21:31,0,0
2019/6/3 21:32,2019/6/3 21:32,0,0
2019/6/3 21:33,2019/6/3 21:34,0,0
2019/6/4 9:04,2019/6/4 17:24,10,0
2019/6/4 9:49,2019/6/4 10:31,0,0
2019/6/4 9:57,2019/6/4 18:15,10,0
2019/6/4 10:00,2019/6/4 17:54,10,0
2019/6/4 10:17,2019/6/4 17:49,0,0
2019/6/4 10:54,2019/6/4 13:56,5,0
2019/6/4 11:01,2019/6/4 16:47,10,0
2019/6/4 11:09,2019/6/4 13:59,0,0
2019/6/4 12:43,2019/6/4 17:37,5,0
2019/6/4 12:59,2019/6/4 16:55,5,0
2019/6/4 13:19,2019/6/4 18:45,10,0
2019/6/4 13:46,2019/6/4 13:54,0,0
2019/6/4 14:25,2019/6/4 18:39,0,0
2019/6/4 14:55,2019/6/4 16:48,5,0
2019/6/4 15:06,2019/6/4 15:35,0,0
2019/6/4 21:10,2019/6/4 21:22,0,0
2019/6/5 8:40,2019/6/5 8:40,0,0
2019/6/5 8:41,2019/6/5 17:40,10,0
2019/6/5 8:48,2019/6/5 18:15,10,0
2019/6/5 8:55,2019/6/5 13:32,5,0
2019/6/5 9:03,2019/6/5 11:07,5,0
2019/6/5 9:05,2019/6/5 11:39,5,0
2019/6/5 9:22,2019/6/5 17:56,10,0
2019/6/5 9:22,2019/6/5 17:59,10,0
2019/6/5 9:25,2019/6/5 15:12,10,0
2019/6/5 9:27,2019/6/5 13:14,0,0
2019/6/5 9:32,2019/6/5 9:49,0,0
2019/6/5 9:42,2019/6/5 13:12,5,0
2019/6/5 9:43,2019/6/5 15:31,10,0
2019/6/5 9:52,2019/6/5 10:19,0,0
2019/6/5 9:55,2019/6/5 11:13,5,0
2019/6/5 10:21,2019/6/5 14:44,5,0
2019/6/5 10:23,2019/6/5 14:59,5,0
2019/6/5 10:29,2019/6/5 11:42,5,0
2019/6/5 10:35,2019/6/5 11:02,0,0
2019/6/5 10:49,2019/6/5 20:01,10,0
2019/6/5 11:21,2019/6/5 13:01,5,0
2019/6/5 12:01,2019/6/5 18:20,10,0
2019/6/5 12:05,2019/6/5 12:54,0,0
2019/6/5 12:13,2019/6/5 21:17,10,0
2019/6/5 12:22,2019/6/5 16:51,5,0
2019/6/5 13:10,2019/6/5 13:40,0,0
2019/6/5 13:16,2019/6/5 14:12,0,0
2019/6/5 13:31,2019/6/5 18:20,0,0
2019/6/5 13:51,2019/6/5 14:38,0,0
2019/6/5 13:51,2019/6/5 14:02,0,0
2019/6/5 13:55,2019/6/5 14:47,0,0
2019/6/5 13:55,2019/6/5 18:05,5,0
2019/6/5 13:56,2019/6/5 13:56,0,0
2019/6/5 13:58,2019/6/5 14:07,0,0
2019/6/5 14:04,2019/6/5 14:05,0,0
2019/6/5 14:07,2019/6/5 15:09,0,0
2019/6/5 14:24,2019/6/5 18:42,5,0
2019/6/5 14:25,2019/6/5 14:30,0,0
2019/6/5 14:58,2019/6/5 16:15,5,0
2019/6/5 15:32,2019/6/5 16:55,5,0
2019/6/5 15:36,2019/6/5 18:32,5,0
2019/6/5 15:42,2019/6/5 15:43,0,0
2019/6/6 8:10,2019/6/6 18:14,10,0
2019/6/6 8:19,2019/6/6 17:49,10,0
2019/6/6 8:36,2019/6/6 8:38,0,0
2019/6/6 8:38,2019/6/6 14:41,10,0
2019/6/6 8:42,2019/6/6 18:00,10,0
2019/6/6 8:52,2019/6/6 19:38,10,0
2019/6/6 8:53,2019/6/6 13:35,5,0
2019/6/6 8:58,2019/6/6 9:00,0,0
2019/6/6 9:01,2019/6/6 14:22,0,0
2019/6/6 9:04,2019/6/6 18:02,10,0
2019/6/6 9:04,2019/6/6 9:05,0,0
2019/6/6 9:14,2019/6/6 18:53,10,0
2019/6/6 9:20,2019/6/6 17:44,10,0
2019/6/6 9:23,2019/6/6 18:01,10,0
2019/6/6 9:27,2019/6/6 10:29,5,0
2019/6/6 9:28,2019/6/6 18:01,10,0
2019/6/6 9:50,2019/6/6 17:55,10,0
2019/6/6 10:52,2019/6/6 18:56,10,0
2019/6/6 11:00,2019/6/6 18:17,0,0
2019/6/6 11:26,2019/6/6 12:23,0,0
2019/6/6 11:26,2019/6/6 13:07,5,0
2019/6/6 11:34,2019/6/6 12:32,0,0
2019/6/6 12:11,2019/6/6 12:11,0,0
2019/6/6 12:12,2019/6/6 13:08,0,0
2019/6/6 12:13,2019/6/6 12:27,0,0
2019/6/6 12:31,2019/6/6 12:32,0,0
2019/6/6 12:41,2019/6/6 12:44,0,0
2019/6/6 12:57,2019/6/6 17:05,5,0
2019/6/6 13:44,2019/6/6 15:34,5,0
