DAY,HOUR,feelst,TEM,PRS,RHU,WIN_S,PRE_1h
2017/6/1 1:55,1:55,24.3,25.7,954,60,1.5,0
2017/6/1 2:55,2:55,23.8,25.1,954,62,1.5,0
2017/6/1 4:00,4:00,24,25.4,954,59,1.1,0
2017/6/1 5:00,5:00,23.6,23.8,955,64,1.6,0
2017/6/1 6:00,6:00,23.1,23.3,955,65,1.4,0
2017/6/1 7:00,7:00,23.8,23.8,955,65,0.9,0
2017/6/1 8:00,8:00,24.2,25.6,956,57,0.9,0
2017/6/1 9:00,9:00,24.2,26.1,957,54,2.8,0
2017/6/1 10:00,10:00,25.5,27.4,957,52,2.8,0
2017/6/1 11:55,11:55,28.3,30.4,956,44,2,0
2017/6/1 13:00,13:00,29.5,31.9,956,38,1.8,0
2017/6/1 14:00,14:00,30.3,32.7,955,36,1.4,0
2017/6/1 15:55,15:55,32.1,34.8,954,28,0.8,0
2017/6/1 17:00,17:00,32.3,35.5,953,26,2,0
2017/6/1 18:55,18:55,30.6,33.3,954,31,1.2,0
2017/6/1 20:05,20:05,28.2,30.3,954,39,0.9,0
2017/6/1 21:00,21:00,28,30.3,955,40,1.6,0
2017/6/1 22:05,22:05,27.5,30.2,955,37,2.3,0
2017/6/1 23:05,23:05,25.8,27.9,955,42,1.1,0
2017/6/2 0:05,0:05,23.7,25.4,956,50,0.7,0
2017/6/2 1:05,1:05,23.8,26,955,45,1.7,0
2017/6/2 2:10,2:10,24.4,24,955,54,0.6,0
2017/6/2 3:05,3:05,22.9,23.1,955,60,1.5,0
2017/6/2 4:05,4:05,21.6,21.8,955,62,0.9,0
2017/6/2 5:05,5:05,21.2,21.6,955,61,1.5,0
2017/6/2 6:05,6:05,20.5,21.1,955,62,2,0
2017/6/2 7:05,7:05,22.8,22.9,956,53,1.8,0
2017/6/2 8:10,8:10,23.1,25.6,956,48,3.8,0
2017/6/2 9:10,9:10,25.6,27.6,956,46,1.5,0
2017/6/2 10:10,10:10,27.7,30.2,956,39,2.2,0
2017/6/2 11:10,11:10,30.1,32.8,955,32,1.6,0
2017/6/2 12:05,12:05,31.6,34.5,955,27,1.2,0
2017/6/2 13:10,13:10,31.3,35.1,954,21,2.6,0
2017/6/2 14:05,14:05,32.1,35.8,953,21,2.4,0
2017/6/2 15:05,15:05,32.2,35.4,952,20,0.6,0
2017/6/2 16:10,16:10,31.9,35.7,951,22,3.2,0
2017/6/2 17:10,17:10,31.9,35.4,951,22,1.9,0
2017/6/2 18:10,18:10,29.9,34,951,25,5.7,0
2017/6/2 19:10,19:10,29,32.9,952,25,4.3,0
2017/6/2 20:10,20:10,28.4,31.8,953,25,2,0
